hcpcs_code,APC
10005,5071
10007,5071
10009,5071
10011,5071
10021,5052
10030,5071
10035,5071
10040,5051
10060,5051
10061,5052
10080,5071
10081,5071
10120,5052
10121,5072
10140,5072
10160,5052
10180,5073
11000,5053
11010,5071
11011,5071
11012,5073
11042,5052
11043,5053
11044,5072
11055,5051
11056,5051
11057,5051
11102,5051
11104,5051
11106,5052
11200,5051
11300,5051
11301,5051
11302,5051
11303,5052
11305,5051
11306,5051
11307,5051
11308,5052
11310,5051
11311,5051
11312,5052
11313,5052
11400,5071
11401,5052
11402,5071
11403,5071
11404,5072
11406,5072
11420,5072
11421,5071
11422,5072
11423,5072
11424,5072
11426,5073
11440,5071
11441,5071
11442,5071
11443,5072
11444,5072
11446,5073
11450,5073
11451,5073
11462,5073
11463,5073
11470,5073
11471,5073
11600,5071
11601,5071
11602,5052
11603,5071
11604,5071
11606,5072
11620,5072
11621,5071
11622,5071
11623,5072
11624,5072
11626,5073
11640,5071
11641,5071
11642,5071
11643,5072
11644,5072
11646,5073
11719,5733
11720,5733
11721,5733
11730,5051
11740,5734
11750,5052
11755,5071
11760,5053
11762,5054
11765,5052
11770,5073
11771,5073
11772,5073
11900,5051
11901,5051
11920,5053
11921,5053
11950,5051
11951,5053
11952,5053
11954,5052
11960,5055
11970,5114
11971,5073
11976,5071
11980,5735
11981,5734
11982,5735
11983,5735
12001,5051
12002,5051
12004,5051
12005,5052
12006,5052
12007,5051
12011,5051
12013,5051
12014,5051
12015,5051
12016,5052
12017,5052
12018,5051
12020,5053
12021,5052
12031,5052
12032,5052
12034,5052
12035,5052
12036,5053
12037,5054
12041,5052
12042,5052
12044,5053
12045,5053
12046,5052
12047,5054
12051,5052
12052,5052
12053,5052
12054,5052
12055,5052
12056,5052
12057,5052
13100,5053
13101,5053
13120,5053
13121,5053
13131,5052
13132,5053
13151,5053
13152,5053
13160,5054
14000,5054
14001,5054
14020,5054
14021,5054
14040,5054
14041,5054
14060,5054
14061,5054
14301,5055
14350,5054
15002,5054
15004,5053
15040,5054
15050,5053
15100,5054
15110,5054
15115,5054
15120,5055
15130,5054
15135,5055
15150,5054
15155,5055
15200,5054
15220,5054
15240,5054
15260,5054
15271,5054
15273,5055
15275,5054
15277,5054
15570,5054
15572,5055
15574,5054
15576,5054
15600,5055
15610,5054
15620,5054
15630,5054
15650,5054
15730,5055
15731,5055
15733,5055
15734,5055
15736,5054
15738,5055
15740,5054
15750,5055
15760,5054
15769,5055
15770,5055
15771,5055
15773,5054
15775,5052
15776,5052
15780,5073
15781,5071
15782,5073
15783,5052
15786,5051
15788,5051
15789,5053
15792,5052
15793,5052
15819,5054
15820,5054
15821,5054
15822,5054
15823,5054
15824,5054
15825,5055
15826,5055
15828,5055
15829,5055
15830,5092
15832,5073
15833,5073
15834,5073
15835,5073
15836,5073
15837,5073
15838,5073
15839,5073
15840,5055
15841,5055
15842,5054
15845,5055
15850,5053
15851,5054
15852,5053
15860,5735
15876,5055
15877,5055
15878,5054
15879,5055
15920,5073
15922,5055
15931,5073
15933,5073
15934,5055
15935,5055
15936,5054
15937,5054
15940,5073
15941,5073
15944,5055
15945,5054
15946,5054
15950,5072
15951,5073
15952,5054
15953,5055
15956,5054
15958,5055
15999,5071
16000,5051
16020,5051
16025,5051
16030,5052
16035,5052
17000,5051
17004,5052
17106,5052
17107,5053
17108,5054
17110,5051
17111,5051
17250,5051
17260,5051
17261,5051
17262,5051
17263,5051
17264,5052
17266,5052
17270,5051
17271,5051
17272,5051
17273,5052
17274,5052
17276,5052
17280,5051
17281,5052
17282,5052
17283,5052
17284,5053
17286,5053
17311,5053
17313,5053
17340,5732
17360,5051
17380,5053
17999,5051
19000,5071
19020,5072
19081,5072
19083,5072
19085,5072
19100,5072
19101,5091
19105,5091
19110,5091
19112,5091
19120,5091
19125,5091
19281,5071
19283,5071
19285,5071
19287,5071
19296,5093
19298,5092
19300,5091
19301,5091
19302,5092
19303,5092
19307,5092
19316,5092
19318,5092
19324,5093
19325,5093
19328,5091
19330,5091
19340,5092
19342,5093
19350,5091
19355,5091
19357,5094
19366,5092
19370,5091
19371,5091
19380,5092
19396,5091
19499,5091
20100,5162
20101,5054
20102,5054
20103,5071
20150,5113
20200,5072
20205,5073
20206,5072
20220,5072
20225,5072
20240,5073
20245,5073
20250,5113
20251,5114
20500,5163
20520,5072
20525,5073
20526,5441
20527,5441
20550,5441
20551,5441
20552,5441
20553,5441
20555,5113
20600,5441
20604,5441
20605,5441
20606,5442
20610,5441
20611,5441
20612,5441
20615,5071
20650,5113
20660,5112
20662,5112
20663,5113
20665,5735
20670,5072
20680,5073
20690,5114
20692,5115
20693,5114
20694,5112
20696,5116
20697,5112
20822,5112
20900,5114
20902,5114
20910,5053
20912,5055
20920,5054
20922,5054
20924,5114
20950,5071
20972,5114
20973,5114
20979,5731
20982,5114
20983,5114
20999,5111
21010,5164
21011,5072
21012,5072
21013,5072
21014,5073
21015,5073
21016,5073
21025,5165
21026,5165
21029,5164
21030,5165
21031,5164
21032,5164
21034,5165
21040,5164
21044,5165
21046,5165
21047,5165
21048,5165
21049,5165
21050,5165
21060,5165
21070,5165
21073,5163
21076,5163
21077,5165
21079,5164
21080,5164
21081,5165
21082,5164
21083,5164
21084,5164
21085,5161
21086,5164
21087,5165
21088,5164
21089,5161
