,Provider_ID,Provider_Name,Provider_Street,Provider_City,Provider_State,Provider_Zip,Provider_Hospital_Referral_Region,APC,APC_Description,Beneficiaries,Comprehensive_APC_Services,Avg_Est_Total_submitted_amt,Avg_Medicare_Allowed,Avg_Medicare_pymt
22,10001,Southeast Alabama Medical Center,1108 Ross Clark Circle,Dothan,AL,36301,AL - Dothan,5302,Level 2 Upper GI Procedures,165.0,177,10380.9570056497,1123.66903954802,894.249039548022
60,10005,Marshall Medical Center South,2505 U S Highway 431 North,Boaz,AL,35957,AL - Birmingham,5302,Level 2 Upper GI Procedures,48.0,64,3875.06875,1148.7184375,912.3584375
90,10006,Eliza Coffee Memorial Hospital,205 Marengo Street,Florence,AL,35631,AL - Birmingham,5302,Level 2 Upper GI Procedures,193.0,229,5355.03764192139,1048.26087336244,831.002882096074
126,10011,St Vincent's East,50 Medical Park East Drive,Birmingham,AL,35235,AL - Birmingham,5302,Level 2 Upper GI Procedures,88.0,89,6510.94247191011,1105.34764044943,868.938876404494
141,10012,Dekalb Regional Medical Center,200 Med Center Drive,Fort Payne,AL,35968,AL - Birmingham,5302,Level 2 Upper GI Procedures,78.0,81,9088.1061728395,1143.92802469135,904.270617283952
183,10019,Helen Keller Memorial Hospital,1300 South Montgomery Avenue,Sheffield,AL,35660,AL - Birmingham,5302,Level 2 Upper GI Procedures,53.0,54,7347.06055555555,1057.98666666666,841.496666666666
197,10021,Dale Medical Center,126 Hospital Ave,Ozark,AL,36360,AL - Dothan,5302,Level 2 Upper GI Procedures,20.0,21,5162.00095238095,1076.26,857.51
200,10022,Cherokee Medical Center,400 Northwood Dr,Centre,AL,35960,GA - Rome,5302,Level 2 Upper GI Procedures,,11,12719.8536363636,1204.8,959.92
223,10023,Baptist Medical Center South,2105 East South Boulevard,Montgomery,AL,36116,AL - Montgomery,5302,Level 2 Upper GI Procedures,16.0,18,5415.71944444444,1059.52944444444,825.585555555555
244,10024,Jackson Hospital & Clinic Inc,1725 Pine Street,Montgomery,AL,36106,AL - Montgomery,5302,Level 2 Upper GI Procedures,68.0,80,9891.95987500001,1034.5355,817.754000000001
278,10029,East Alabama Medical Center,2000 Pepperell Parkway,Opelika,AL,36801,AL - Birmingham,5302,Level 2 Upper GI Procedures,50.0,51,3242.97921568627,1141.39666666666,899.336666666666
314,10033,University Of Alabama Hospital,619 South 19th Street,Birmingham,AL,35233,AL - Birmingham,5302,Level 2 Upper GI Procedures,553.0,699,11728.6598855507,1135.02184549355,897.479899856943
336,10034,Community Hospital Inc,805 Friendship Road,Tallassee,AL,36078,AL - Montgomery,5302,Level 2 Upper GI Procedures,18.0,23,2265.65217391304,1108.54695652173,876.891739130434
351,10035,Cullman Regional Medical Center,1912 Alabama Highway 157,Cullman,AL,35058,AL - Birmingham,5302,Level 2 Upper GI Procedures,41.0,52,5966.6025,1245.43,992.29
371,10036,Andalusia Regional Hospital,849 South Three Notch Street,Andalusia,AL,36420,FL - Pensacola,5302,Level 2 Upper GI Procedures,27.0,32,8581.2034375,1065.15,848.66
384,10038,Stringfellow Memorial Hospital,301 East 18th St,Anniston,AL,36201,AL - Birmingham,5302,Level 2 Upper GI Procedures,77.0,82,26100.3418292684,1085.81512195122,861.325121951221
414,10039,Huntsville Hospital,101 Sivley Rd,Huntsville,AL,35801,AL - Huntsville,5302,Level 2 Upper GI Procedures,232.0,252,6470.92238095234,1168.29551587301,924.154682539686
450,10040,Gadsden Regional Medical Center,1007 Goodyear Avenue,Gadsden,AL,35903,AL - Birmingham,5302,Level 2 Upper GI Procedures,118.0,132,25147.4781060606,1095.72803030303,860.569696969697
486,10046,Riverview Regional Medical Center,600 South Third Street,Gadsden,AL,35901,AL - Birmingham,5302,Level 2 Upper GI Procedures,182.0,203,11419.122364532,1069.19793103448,846.955763546798
501,10049,Medical Center Enterprise,400 N Edwards Street,Enterprise,AL,36330,AL - Dothan,5302,Level 2 Upper GI Procedures,31.0,34,17023.9920588235,1070.74,853.11
531,10055,Flowers Hospital,4370 West Main Street,Dothan,AL,36305,AL - Dothan,5302,Level 2 Upper GI Procedures,159.0,170,22272.7388823529,1178.42064705882,930.461235294117
570,10056,St Vincent's Birmingham,810 St Vincent's Drive,Birmingham,AL,35205,AL - Birmingham,5302,Level 2 Upper GI Procedures,248.0,275,6289.00458181818,1137.81618181818,900.968254545458
593,10061,Highlands Medical Center,380 Woods Cove Road,Scottsboro,AL,35768,AL - Huntsville,5302,Level 2 Upper GI Procedures,29.0,31,5985.20129032258,1281.05,1020.67
603,10062,Wiregrass Medical Center,1200 W Maple Avenue,Geneva,AL,36340,AL - Dothan,5302,Level 2 Upper GI Procedures,27.0,28,3960.35,1065.18285714285,847.056428571428
620,10065,Russell Hospital,3316 Highway 280,Alexander City,AL,35010,AL - Birmingham,5302,Level 2 Upper GI Procedures,192.0,219,3653.46529680364,1141.48378995434,906.808995433794
649,10078,Northeast Alabama Regional Medical Center,400 East 10th Street,Anniston,AL,36207,AL - Birmingham,5302,Level 2 Upper GI Procedures,433.0,511,9788.4026223092,1064.46389432484,842.597377690796
673,10079,Athens Limestone Hospital,700 West Market Street,Athens,AL,35611,AL - Huntsville,5302,Level 2 Upper GI Procedures,21.0,23,6497.99695652174,1187.93,946.48
696,10083,South Baldwin Regional Medical Center,1613 North Mckenzie Street,Foley,AL,36535,AL - Mobile,5302,Level 2 Upper GI Procedures,78.0,92,12043.389673913,1105.45282608695,878.802826086957
717,10085,Decatur Morgan Hospital-Decatur Campus,1201 7th Street Se,Decatur,AL,35601,AL - Huntsville,5302,Level 2 Upper GI Procedures,22.0,23,6468.80173913043,1084.03695652173,857.361739130435
743,10087,University Of South Alabama Medical Center,2451 Fillingim Street,Mobile,AL,36617,AL - Mobile,5302,Level 2 Upper GI Procedures,49.0,58,4651.71344827586,1088.33568965517,851.739655172414
760,10089,Walker Baptist Medical Center,3400 Highway 78 East,Jasper,AL,35502,AL - Birmingham,5302,Level 2 Upper GI Procedures,47.0,50,10186.6678,1161.44999999999,925.38
787,10090,Providence Hospital,6801 Airport Boulevard,Mobile,AL,36608,AL - Mobile,5302,Level 2 Upper GI Procedures,100.0,105,2823.33266666665,1101.43723809523,872.125428571427
822,10092,D C H Regional Medical Center,809 University Boulevard East,Tuscaloosa,AL,35401,AL - Tuscaloosa,5302,Level 2 Upper GI Procedures,86.0,97,6246.34886597937,1117.83103092783,887.301030927837
844,10099,D W Mcmillan Memorial Hospital,1301 Belleville Avenue,Brewton,AL,36426,FL - Pensacola,5302,Level 2 Upper GI Procedures,11.0,12,3109.58333333333,1084.93,864.42
867,10100,Thomas Hospital,750 Morphy Avenue,Fairhope,AL,36532,AL - Mobile,5302,Level 2 Upper GI Procedures,132.0,143,4867.18426573427,1119.93608391607,888.255594405594
884,10101,Citizens Baptist Medical Center,604 Stone Avenue,Talladega,AL,35161,AL - Birmingham,5302,Level 2 Upper GI Procedures,42.0,43,11273.7709302325,1153.1,918.73
907,10103,Princeton Baptist Medical Center,701 Princeton Avenue Southwest,Birmingham,AL,35211,AL - Birmingham,5302,Level 2 Upper GI Procedures,33.0,35,11791.21,1161.45,925.38
943,10104,Grandview Medical Center,3690 Grandview Parkway,Birmingham,AL,35243,AL - Birmingham,5302,Level 2 Upper GI Procedures,234.0,260,20106.3764615384,1127.81188461538,889.786153846157
959,10108,Prattville Baptist Hospital,124 S Memorial Dr,Prattville,AL,36067,AL - Montgomery,5302,Level 2 Upper GI Procedures,11.0,13,4141.99923076923,1108.42,883.13
988,10113,Mobile Infirmary Medical Center,5 Mobile Infirmary Circle,Mobile,AL,36652,AL - Mobile,5302,Level 2 Upper GI Procedures,197.0,236,3754.10351694915,1105.70512711864,876.004788135593
1013,10114,"Medical West, An Affiliate Of Uab Health System",995 9th Avenue Southwest,Bessemer,AL,35021,AL - Birmingham,5302,Level 2 Upper GI Procedures,125.0,132,5777.27984848484,1150.54803030303,911.120757575757
