npi,np_last_orgname,np_entity_code,np_city,np_state,p_type,place_of_service,HCPCS,hcpcs_description,unique_beneficiary,bene_day_srvc_cnt,avg_medicare_allowed,avg_medicare_pymt,ZIP
1003015843,"NORTHBAY PHYSICIAN'S SURGERY CENTER, L.L.C.",O,VACAVILLE,CA,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,16,20,814.5345,596.4005,95687
1003015843,"NORTHBAY PHYSICIAN'S SURGERY CENTER, L.L.C.",O,VACAVILLE,CA,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",26,26,835.42,654.97,95687
1003036310,MIDWEST ENDOSCOPY CENTER LLC,O,NAPERVILLE,IL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",20,20,622.53,480.8865,60540
1003036310,MIDWEST ENDOSCOPY CENTER LLC,O,NAPERVILLE,IL,Ambulatory Surgical Center,F,43259,"Ultrasound examination of esophagus, stomach and/or upper small bowel using an endoscope",20,20,622.53,480.1635,60540
1003079187,WASC LLC,O,WOOSTER,OH,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,15,17,555.31,433.16294118,44691
1003220187,"CENTRAL OHIO ENDOSCOPY CENTER, LLC",O,COLUMBUS,OH,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,79,94,596.51,463.13223404,43202
1003815242,"DOTHAN SURGERY CENTER, LLC",O,DOTHAN,AL,Ambulatory Surgical Center,F,43244,Tying of dilated veins of stomach and/or esophagus using an endoscope,13,17,480.40529412,361.74,36301
1003815242,"DOTHAN SURGERY CENTER, LLC",O,DOTHAN,AL,Ambulatory Surgical Center,F,43245,Dilation of stomach outlet using an endoscope,28,34,442.87441176,347.21029412,36301
1003815242,"DOTHAN SURGERY CENTER, LLC",O,DOTHAN,AL,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,409,446,509.85778027,391.67553812,36301
1003815242,"DOTHAN SURGERY CENTER, LLC",O,DOTHAN,AL,Ambulatory Surgical Center,F,43251,"Removal of polyps or growths of esophagus, stomach, and/or upper small bowel using an endoscope",17,19,510.43,400.17,36301
1003815242,"DOTHAN SURGERY CENTER, LLC",O,DOTHAN,AL,Ambulatory Surgical Center,F,43270,"Destruction of growths on esophagus, stomach, and/or upper small bowel using an endoscope",19,22,510.43,388.66227273,36301
1003842626,"AMBULATORY CENTER FOR ENDOSCOPY, LLC",O,NORTH BERGEN,NJ,Ambulatory Surgical Center,F,43242,"Ultrasound guided needle aspiration or biopsy of esophagus, stomach, and/or upper small bowel using an endoscope",20,20,696.4,508.009,07047
1003887225,CENTRAL TEXAS ENDOSCOPY CENTER LLC,O,BRYAN,TX,Ambulatory Surgical Center,F,43249,Balloon dilation of esophagus using an endoscope,23,26,576.83,445.69269231,77802
