CBSA,zip
35620,00501
38660,00601
10380,00602
10380,00603
10380,00604
10380,00605
99999,00606
10380,00610
10380,00611
41980,00612
10380,00612
11640,00612
11640,00613
11640,00614
11640,00616
41980,00617
41900,00622
41900,00623
32420,00623
49500,00624
38660,00624
11640,00627
10380,00631
41900,00637
41980,00638
10380,00641
38660,00641
41980,00646
49500,00647
41900,00647
41980,00650
11640,00650
11640,00652
49500,00653
49500,00656
11640,00659
32420,00660
11640,00662
10380,00662
27580,00664
10380,00664
41900,00667
10380,00669
32420,00670
41980,00674
10380,00676
10380,00677
11640,00678
41900,00680
32420,00680
10380,00680
32420,00681
32420,00682
41900,00683
32420,00683
10380,00685
41980,00687
11640,00688
10380,00690
41980,00692
41980,00693
41980,00694
41900,00698
49500,00698
41980,00703
17640,00704
41980,00705
17620,00705
41980,00707
25020,00714
38660,00715
38660,00716
38660,00717
41980,00718
41980,00719
38660,00720
41980,00720
41980,00721
41980,00723
25020,00723
41980,00725
41980,00726
41980,00727
38660,00728
41980,00729
38660,00730
38660,00731
38660,00732
38660,00733
41980,00735
41980,00736
41980,00737
41980,00738
41980,00739
41980,00740
41980,00741
41980,00742
41980,00744
41980,00745
17640,00751
42180,00751
41980,00754
17620,00757
42180,00757
99999,00765
38660,00766
41980,00767
17620,00769
41980,00771
41980,00772
41980,00773
99999,00775
41980,00777
41980,00778
38660,00780
41980,00782
41980,00783
25020,00784
25020,00785
41980,00786
41980,00791
41980,00792
41980,00794
38660,00795
99999,00802
99999,00820
99999,00830
99999,00840
99999,00850
41980,00901
41980,00902
41980,00907
41980,00908
41980,00909
41980,00910
41980,00911
41980,00912
41980,00913
41980,00914
41980,00915
41980,00916
41980,00917
41980,00918
41980,00919
41980,00920
41980,00921
41980,00922
41980,00923
41980,00924
41980,00925
41980,00926
41980,00927
41980,00928
41980,00929
41980,00931
41980,00934
41980,00935
41980,00936
41980,00937
41980,00940
41980,00949
41980,00950
41980,00951
41980,00952
41980,00953
41980,00954
41980,00956
41980,00957
41980,00958
41980,00959
41980,00960
41980,00961
41980,00962
41980,00963
41980,00965
41980,00966
41980,00968
41980,00969
41980,00970
41980,00971
41980,00975
41980,00976
41980,00977
41980,00979
41980,00981
41980,00982
41980,00983
41980,00984
41980,00985
41980,00986
41980,00987
41980,00988
44140,01001
44140,01002
44140,01003
44140,01004
49340,01005
44140,01007
44140,01008
38340,01008
44140,01009
44140,01010
49340,01010
44140,01011
44140,01012
44140,01013
44140,01014
44140,01020
44140,01021
44140,01022
38340,01026
44140,01026
44140,01027
44140,01028
38340,01029
44140,01030
